Postal_Code,Name,Median_Household_Income
GA,Crawford County,"43,111"
GA,Crisp County,"31,176"
GA,Dade County,"42,953"
GA,Dawson County,"57,491"
GA,Decatur County,"33,968"
GA,DeKalb County,"50,597"
GA,Dodge County,"32,293"
GA,Dooly County,"31,103"
GA,Dougherty County,"32,150"
GA,Douglas County,"54,581"
GA,Early County,"34,906"
GA,Echols County,"34,444"
GA,Effingham County,"61,195"
GA,Elbert County,"35,351"
GA,Emanuel County,"30,119"
GA,Evans County,"33,293"
GA,Fannin County,"37,813"
GA,Fayette County,"79,069"
GA,Floyd County,"41,814"
GA,Forsyth County,"86,413"
GA,Franklin County,"38,055"
GA,Fulton County,"55,516"
GA,Gilmer County,"40,010"
GA,Glascock County,"39,643"
GA,Glynn County,"46,737"
GA,Gordon County,"43,880"
GA,Grady County,"35,237"
GA,Greene County,"42,823"
GA,Gwinnett County,"59,858"
GA,Habersham County,"40,994"
GA,Hall County,"52,238"
GA,Hancock County,"26,309"
GA,Haralson County,"40,387"
GA,Harris County,"66,249"
GA,Hart County,"38,564"
GA,Heard County,"41,348"
GA,Henry County,"60,388"
GA,Houston County,"53,027"
GA,Irwin County,"35,955"
GA,Jackson County,"51,931"
GA,Jasper County,"41,818"
GA,Jeff Davis County,"35,235"
GA,Jefferson County,"30,835"
GA,Jenkins County,"30,678"
GA,Johnson County,"29,818"
GA,Jones County,"51,749"
GA,Lamar County,"40,339"
GA,Lanier County,"37,113"
GA,Laurens County,"35,807"
GA,Lee County,"64,533"
GA,Liberty County,"41,682"
GA,Lincoln County,"39,484"
GA,Long County,"43,193"
GA,Lowndes County,"38,887"
GA,Lumpkin County,"44,653"
GA,McDuffie County,"37,413"
GA,McIntosh County,"37,603"
GA,Macon County,"29,430"
GA,Madison County,"45,557"
GA,Marion County,"36,055"
GA,Meriwether County,"37,243"
GA,Miller County,"35,276"
GA,Mitchell County,"32,711"
GA,Monroe County,"53,542"
GA,Montgomery County,"36,436"
GA,Morgan County,"50,295"
GA,Murray County,"40,976"
GA,Muscogee County,"41,783"
GA,Newton County,"48,058"
GA,Oconee County,"80,631"
GA,Oglethorpe County,"46,840"
GA,Paulding County,"63,964"
GA,Peach County,"40,550"
GA,Pickens County,"51,047"
GA,Pierce County,"40,526"
GA,Pike County,"50,395"
GA,Polk County,"38,847"
GA,Pulaski County,"36,128"
GA,Putnam County,"42,125"
GA,Quitman County,"29,477"
GA,Rabun County,"38,449"
GA,Randolph County,"25,807"
GA,Richmond County,"36,012"
GA,Rockdale County,"48,287"
GA,Schley County,"39,601"
GA,Screven County,"34,012"
GA,Seminole County,"37,672"
GA,Spalding County,"35,555"
GA,Stephens County,"36,870"
GA,Stewart County,"27,635"
GA,Sumter County,"34,017"
GA,Talbot County,"33,370"
GA,Taliaferro County,"28,716"
GA,Tattnall County,"34,010"
GA,Taylor County,"32,815"
GA,Telfair County,"29,244"
GA,Terrell County,"34,604"
GA,Thomas County,"36,973"
GA,Tift County,"36,303"
GA,Toombs County,"34,008"
GA,Towns County,"39,453"
GA,Treutlen County,"32,536"
GA,Troup County,"41,141"
GA,Turner County,"32,171"
GA,Twiggs County,"36,886"
GA,Union County,"40,667"
GA,Upson County,"34,867"
GA,Walker County,"39,078"
GA,Walton County,"52,082"
GA,Ware County,"34,288"
GA,Warren County,"31,623"
GA,Washington County,"36,137"
GA,Wayne County,"41,093"
GA,Webster County,"33,893"
GA,Wheeler County,"30,264"
GA,White County,"42,126"
GA,Whitfield County,"43,731"
GA,Wilcox County,"32,722"
GA,Wilkes County,"32,042"
GA,Wilkinson County,"34,512"
GA,Worth County,"40,382"
HI,Hawaii,"69,549"
HI,Hawaii County,"51,887"
HI,Honolulu County,"73,985"
HI,Kalawao County,.
HI,Kauai County,"58,883"
HI,Maui County,"64,916"
ID,Idaho,"47,572"
ID,Ada County,"57,908"
ID,Adams County,"40,777"
ID,Bannock County,"44,324"
ID,Bear Lake County,"45,504"
ID,Benewah County,"46,277"
ID,Bingham County,"47,292"
ID,Blaine County,"63,490"
ID,Boise County,"50,874"
ID,Bonner County,"45,193"
ID,Bonneville County,"51,440"
ID,Boundary County,"42,720"
ID,Butte County,"42,907"
ID,Camas County,"49,569"
ID,Canyon County,"43,489"
ID,Caribou County,"55,770"
ID,Cassia County,"45,078"
ID,Clark County,"45,979"
ID,Clearwater County,"41,304"
ID,Custer County,"42,704"
ID,Elmore County,"45,049"
ID,Franklin County,"50,545"
ID,Fremont County,"45,578"
ID,Gem County,"41,688"
ID,Gooding County,"44,669"
ID,Idaho County,"39,551"
ID,Jefferson County,"52,428"
ID,Jerome County,"46,513"
ID,Kootenai County,"49,061"
ID,Latah County,"43,482"
ID,Lemhi County,"37,869"
ID,Lewis County,"39,918"
ID,Lincoln County,"44,046"
ID,Madison County,"36,065"
ID,Minidoka County,"46,332"
ID,Nez Perce County,"46,214"
ID,Oneida County,"46,503"
ID,Owyhee County,"38,478"
ID,Payette County,"45,533"
ID,Power County,"48,048"
ID,Shoshone County,"36,577"
ID,Teton County,"57,644"
ID,Twin Falls County,"44,236"
ID,Valley County,"49,380"
ID,Washington County,"35,955"
IL,Illinois,"57,458"
IL,Adams County,"46,061"
IL,Alexander County,"30,699"
IL,Bond County,"49,886"
IL,Boone County,"58,792"
IL,Brown County,"50,225"
IL,Bureau County,"52,138"
IL,Calhoun County,"49,689"
IL,Carroll County,"50,750"
IL,Cass County,"46,289"
IL,Champaign County,"47,966"
IL,Christian County,"46,870"
IL,Clark County,"50,645"
IL,Clay County,"45,709"
IL,Clinton County,"60,556"
IL,Coles County,"41,319"
IL,Cook County,"55,058"
IL,Crawford County,"45,889"
IL,Cumberland County,"49,567"
IL,DeKalb County,"56,536"
IL,De Witt County,"55,193"
IL,Douglas County,"52,526"
IL,DuPage County,"80,037"
IL,Edgar County,"45,485"
IL,Edwards County,"46,894"
IL,Effingham County,"52,578"
IL,Fayette County,"41,268"
IL,Ford County,"50,877"
IL,Franklin County,"37,758"
IL,Fulton County,"44,435"
IL,Gallatin County,"41,045"
IL,Greene County,"39,738"
IL,Grundy County,"70,092"
IL,Hamilton County,"49,790"
IL,Hancock County,"48,767"
IL,Hardin County,"37,331"
IL,Henderson County,"50,999"
IL,Henry County,"51,025"
IL,Iroquois County,"46,895"
IL,Jackson County,"34,395"
IL,Jasper County,"52,919"
IL,Jefferson County,"43,073"
IL,Jersey County,"52,493"
IL,Jo Daviess County,"51,282"
IL,Johnson County,"45,773"
IL,Kane County,"72,131"
IL,Kankakee County,"56,326"
IL,Kendall County,"90,640"
IL,Knox County,"38,992"
IL,Lake County,"78,001"
IL,La Salle County,"51,205"
IL,Lawrence County,"41,759"
IL,Lee County,"54,472"
IL,Livingston County,"53,918"
IL,Logan County,"54,353"
IL,McDonough County,"42,684"
IL,McHenry County,"76,856"
IL,McLean County,"60,460"
IL,Macon County,"47,575"
IL,Macoupin County,"48,544"
IL,Madison County,"54,375"
IL,Marion County,"44,289"
IL,Marshall County,"53,732"
IL,Mason County,"46,878"
IL,Massac County,"40,590"
IL,Menard County,"61,388"
IL,Mercer County,"54,916"
IL,Monroe County,"73,684"
IL,Montgomery County,"45,288"
IL,Morgan County,"46,406"
IL,Moultrie County,"52,790"
IL,Ogle County,"57,126"
IL,Peoria County,"52,448"
IL,Perry County,"42,032"
IL,Piatt County,"65,971"
IL,Pike County,"39,005"
IL,Pope County,"40,722"
IL,Pulaski County,"33,943"
IL,Putnam County,"62,024"
IL,Randolph County,"47,862"
IL,Richland County,"43,396"
IL,Rock Island County,"48,024"
IL,St. Clair County,"50,155"
IL,Saline County,"38,329"
IL,Sangamon County,"55,371"
IL,Schuyler County,"47,092"
IL,Scott County,"51,584"
IL,Shelby County,"48,994"
IL,Stark County,"50,219"
IL,Stephenson County,"48,569"
IL,Tazewell County,"60,490"
IL,Union County,"40,957"
IL,Vermilion County,"42,036"
IL,Wabash County,"49,385"
IL,Warren County,"44,180"
IL,Washington County,"54,683"
IL,Wayne County,"46,839"
IL,White County,"46,927"
IL,Whiteside County,"49,895"
IL,Will County,"75,176"
IL,Williamson County,"46,322"
IL,Winnebago County,"47,708"
IL,Woodford County,"70,127"
IN,Indiana,"49,384"
IN,Adams County,"50,172"
IN,Allen County,"48,651"
IN,Bartholomew County,"54,101"
IN,Benton County,"46,196"
IN,Blackford County,"39,563"
IN,Boone County,"68,352"
IN,Brown County,"52,582"
IN,Carroll County,"55,318"
IN,Cass County,"44,430"
IN,Clark County,"52,050"
IN,Clay County,"44,385"
IN,Clinton County,"49,945"
IN,Crawford County,"40,657"
IN,Daviess County,"47,670"
IN,Dearborn County,"59,280"
IN,Decatur County,"50,258"
IN,De Kalb County,"51,911"
IN,Delaware County,"39,449"
IN,Dubois County,"53,211"
IN,Elkhart County,"50,192"
